Per Share Ratios,Dec 2019,sep,jun,march,2018,,,,2017,,,,2016,,,
Basic EPS (Rs.),21.63,21.43,21.67,21.65,21.6,20.66,19.17,36.07,34.12,33.67,30.4,33.52,34.4,33.43,32.06,32.18
CNX Nifty (Open),12137.05,10960.95,11953.75,10842.65,10930.7,11751.8,10738.45,10479.95,10263.7,9937.65,9603.55,8904.4,8244,8793.6,8179.2,7038.25
market/book,13.75350514,15.08212044,14.74028575,13.28615302,6.636613487,6.971611476,5.892210752,5.096192519,4.373279379,4.104613752,4.195827391,4.11953962,4.242940784,4.685762988,4.776365523,4.043763433
CNX IT,15056.85,16027.1,16159.5,15778.15,14728.45,16013.05,13694.25,12823.9,11123.6,10537.6,10508.7,10674.85,10090,10570.1,11405.5,10337.95
Open,2060,2259,2207.8,1990,1980.1,2080.05,1758,1520.5,1318.5,1237.5,1265,1242,1145,1264.5,1288.95,1091.25
