Per Share Ratios,Dec 2019,sep,jun,march,2018,,,,2017,,,,2016,,,
Basic EPS (Rs.),-2.02,-44.92,-6.18,0.27,0.22,0.28,0.23,0.21,0.77,0.86,0.92,0.93,0.21,0.77,0.86,0.92
CNX Nifty (Open),12137.05,10960.95,11953.75,10842.65,10930.7,11751.8,10738.45,10479.95,10263.7,9937.65,9603.55,8904.4,8244,8793.6,8179.2,7038.25
market/book,2.211660628,1.633099619,1.649334149,1.384499553,1.475357143,1.805561224,1.77255102,2.011632653,2.452863673,2.117881151,1.826620059,1.816724926,1.653022844,1.680734554,1.800818629,1.601028818
CNX Service,17146.65,15740,16940.05,14944.1,14916.15,15747.25,14641.8,13847.85,13502.45,13068.5,12477.5,11479.7,10532.55,11205.75,10624.3,8936.1
Open,470,347.05,350.5,294.22,289.17,353.89,347.42,394.28,456.11,393.82,339.66,337.82,298.85,303.86,325.57,289.45
