Per Share Ratios,Dec 2019,sep,jun,march,2018,,,,2017,,,,2016,,,
Basic EPS (Rs.),3.81,4.43,5.78,2.65,5.18,-0.91,4.09,5.5,1.5,3.8,-1.8,5.2,6.1,9.3,8.5,5.9
CNX Nifty (Open),12137.05,10960.95,11953.75,10842.65,10930.7,11751.8,10738.45,10479.95,10263.7,9937.65,9603.55,8904.4,8244,8793.6,8179.2,7038.25
market/book,2.41416309,2.416040773,2.202253219,2.403433476,2.668723927,3.76964398,2.771301217,3.081890394,3.216723043,2.854430004,2.984986054,4.029137737,4.612737778,5.031487373,4.992533922,5.583327923
CNX Pharma,8195.45,8032.9,8459.85,8909,9108.05,10463.4,8248.7,8966.4,9280.55,8936.85,9044.45,10619.85,11103.25,11486.75,11031.1,11224.75
Open,450,450.35,410.5,448,467,659.65,484.95,539.3,542.05,481,503,678.95,710.5,775,769,860
