Per Share Ratios,Dec 2019,sep,jun,march,2018,,,,2017,,,,2016,,,
Basic EPS (Rs.),7.97,8.58,6.83,4.93,6.63,5.12,5.81,5.01,5.78,6,4.46,4.82,4.86,4.96,5.58,4.37
CNX Nifty (Open),12137.05,10960.95,11953.75,10842.65,10930.7,11751.8,10738.45,10479.95,10263.7,9937.65,9603.55,8904.4,8244,8793.6,8179.2,7038.25
market/book,16.62439024,15.68780488,13.90195122,13.73268293,14.81778266,15.09330406,14.33150384,12.29692645,13.78771487,14.07621108,13.94398365,12.36927515,13.44071091,13.44071091,13.74618162,11.88558734
CNX FMCG,30977,29116.45,30019.95,29335.2,30312,33167.9,28839,26489.6,25886.75,25835.25,25857.35,22378.35,20523.4,22666.85,20618.15,18630.55
Open,1704,1608,1424.95,1407.6,1349.9,1375,1305.6,1120.25,1147,1171,1160,1029,968,968,990,856
