Per Share Ratios,Dec 2019,sep,jun,march,2018,,,,2017,,,,2016,,,
Basic EPS (Rs.),49.06,61.76,45.41,48.05,33.45,46.27,40.97,43.98,32.34,35.59,27.32,31.82,17.36,27.94,23.94,29.8
CNX Nifty (Open),12137.05,10960.95,11953.75,10842.65,10930.7,11751.8,10738.45,10479.95,10263.7,9937.65,9603.55,8904.4,8244,8793.6,8179.2,7038.25
market/book,72.15568862,64.12175649,57.38522954,53.14371257,28.3695966,30.70785544,25.37728669,20.41153775,21.47930996,19.9825234,18.72815425,17.63177923,20.20220118,20.93358075,19.59623752,16.11210648
CNX FMCG,30977,29116.45,30019.95,29335.2,30312,33167.9,28839,26489.6,25886.75,25835.25,25857.35,22378.35,20523.4,22666.85,20618.15,18630.55
Open,14460,12850,11500,10650,10809.1,11700,9669,7777,7620,7089,6644,6255.05,6314.4,6543,6125,5036
