Per Share Ratios,2019,,,,2018,,,,2017,,,,2016,,,
Basic EPS (Rs.),18.36,18.59,17.05,17.49,17.3,16.06,15.97,15.93,15.98,13.67,30.78,27.27,25.4,24.4,24.1,24.33
CNX Nifty (Open),12137.05,10960.95,11953.75,10842.65,10930.7,11751.8,10738.45,10479.95,10263.7,9937.65,9603.55,8904.4,8244,8793.6,8179.2,7038.25
market/book,0.664206065,0.5342425048,0.7616396365,0.7880702523,1.089276366,1.212096807,1.149478516,1.351024846,0.7476968528,0.6886099929,0.5438020816,0,0.5192235053,0.4613911073,0.4498300237,0.322590654
CNX Metal,2631.85,2269.7,2905,2899.5,3225.85,3658.55,3578.2,3989.85,3693.3,3491.9,2957.95,3142.45,2813.95,2568.1,2037.85,1642.5
Open,424.7,341.6,487,503.9,541,602,570.9,671,663.08,610.68,482.26,460.44,384.89,342.02,333.45,239.13
