Per Share Ratios,Dec 2019,sep,jun,march,2018,,,,2017,,,,2016,,,
Basic EPS (Rs.),14.89,9.57,9.71,12.29,12.61,10.68,9.67,9.17,8.26,8.53,7.57,7.2,7.63,6.55,5.82,5.76
CNX Nifty (Open),12137.05,10960.95,11953.75,10842.65,10930.7,11751.8,10738.45,10479.95,10263.7,9937.65,9603.55,8904.4,8244,8793.6,8179.2,7038.25
market/book,5.332980973,4.728792283,5.03435518,4.045652748,4.710500491,4.887521703,4.982260134,4.106778893,4.806312769,4.672405548,4.608082257,3.847919656,4.167583022,4.458983945,4.123597977,3.408840994
CNX Bank,32008.3,27239.2,31406.05,26941,27032.9,28199.45,26913.4,25022.35,25409.55,24389.2,23394.1,20698.9,18676.75,19805.8,17670.85,14064.8
Open,1614.4,1431.5,1524,1224.7,1248,1294.9,1320,1088.05,1005,977,963.55,804.6,758,811,750,620
