Parameter \ Date,2019,,,,2018,,,,2017,,,,2016,,,
Basic EPS (Rs.),18.36,18.59,17.05,17.49,17.3,16.06,15.97,15.93,15.98,13.67,30.78,27.27,25.4,24.4,24.1,24.33
CNX Nifty (Open),12137.05,10960.95,11953.75,10842.65,10930.7,11751.8,10738.45,10479.95,10263.7,9937.65,9603.55,8904.4,8244,8793.6,8179.2,7038.25
Market to book value ratio,2.254172,1.802412,2.156566,1.911778,2.129968,2.3743,1.928724,1.921234,1.058658,0.906329,0.783036,0.584261,0.702447,0.680202,0.654139,0.694879
Nifty PNE,3263.3,3009.1,3683.05,3247.75,3215.15,3748.45,3837.15,4053.3,4252.85,4142.6,4054.6,4055.6,3752.35,3531.35,2986,2620.05
Open,1579.97,1228.31,1322.42,1223.36,1161,1237.23,912.62,913.31,916.28,793.35,662.69,535.58,493.39,521.98,474.88,539.62
