Per Share Ratios,Dec 2019,sep,jun,march,2018,,,,2017,,,,2016,,,
Basic EPS (Rs.),10.51,9.46,8.83,9.37,8.3,9.45,16.62,16.98,22.55,16.3,15.24,15.77,16.22,15.77,15.03,15.74
CNX Nifty (Open),12137.05,10960.95,11953.75,10842.65,10930.7,11751.8,10738.45,10479.95,10263.7,9937.65,9603.55,8904.4,8244,8793.6,8179.2,7038.25
market/book,4.689210843,5.441313927,4.900520764,4.925891307,2.247285159,2.443357018,2.064452339,1.966516959,1.621115128,1.517794952,1.607018475,1.682642874,1.808345068,1.919513822,2.299340399,2.034388201
CNX IT,15056.85,16027.1,16159.5,15778.15,14728.45,16013.05,13694.25,12823.9,11123.6,10537.6,10508.7,10674.85,10090,10570.1,11405.5,10337.95
Open,702.35,815,734,737.8,670.5,729,615.95,586.73,488.75,457.6,484.5,507.3,488,518,620.5,549
